from_ensembl	to_ensembl
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000228859'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000182378'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000137397'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000288257'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000276910'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000276461'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000198805'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000115840'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000277897'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000118702'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000292376'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000262068'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000263243'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000204287'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291443'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000277399'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000284881'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000163254'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000172524'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291922'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000118231'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000237123'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000288411'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000068323'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000262505'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000150269'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000234443'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000204472'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000285516'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000171587'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000121380'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000204592'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000228263'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000148303'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000170632'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000099953'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000285485'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000233076'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000224941'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000283868'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000104755'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291836'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000234058'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000163807'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000280610'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000233348'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000270647'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000277791'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000284792'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000230995'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000223618'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000273611'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000182117'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000288408'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000123444'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000226850'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000114942'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000104643'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000008018'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000148300'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000145425'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000276421'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000105619'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000292102'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000223775'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000285182'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291761'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000075568'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000109919'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000277025'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000278622'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000288283'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000282266'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000234046'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000099956'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000181481'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000282958'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291973'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000280759'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000284869'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000274965'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000282844'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291971'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000117318'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000111846'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000014164'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000276482'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000260873'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000132507'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000104728'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000284254'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000215077'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000275333'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000155189'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000204197'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000182774'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000182973'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000161021'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000234012'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000235067'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000275911'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000230514'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000285048'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000103319'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000160695'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291501'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000160932'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000206476'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000166455'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000282880'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000089486'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000079459'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000135940'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000283777'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000140750'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000100908'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000176371'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000235439'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000292061'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000182325'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000289690'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000227314'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000223367'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000176994'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000284238'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000127554'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000284915'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000277600'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000198826'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000181222'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000292096'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291803'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000275618'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000116521'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000100938'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000285246'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000226618'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000196943'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000275650'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000292358'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291348'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000257103'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000231502'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000277936'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000233948'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291884'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000274803'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000291756'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000181135'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000064932'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000070018'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000180900'}
{'gene': 'ENSG00000235068'}	{'gene': 'ENSG00000230700'}
