t,alpha_bar,alpha_bar_lambda_max,r_ode_lincomb,r_cellunet
0,0.9999,47.36733170362099,1.0,0.0
1,0.9997800920720721,47.361651416996274,1.0,0.0
2,0.9996402829841216,47.35502837124756,1.0,0.0
3,0.9994805806926658,47.34746294329155,1.0,0.0
4,0.9993009943420809,47.33895556631626,1.0,0.0
5,0.9991015342637307,47.32950672973976,1.0,0.0
6,0.998882211974978,47.319116979163354,1.0,0.0
7,0.9986430401780766,47.30778691631909,1.0,0.0
8,0.9983840327589473,47.29551719901176,1.0,0.0
9,0.9981052047858344,47.28230854105528,1.0,0.0
10,0.997806572507846,47.26816171220351,1.0,0.0
11,0.997488153353376,47.25307753807553,1.0,0.0
12,0.9971499659284102,47.23705690007538,1.0,0.0
13,0.9967920300147145,47.22010073530624,1.0,0.0
14,0.9964143665679072,47.2022100364791,1.0,0.0
15,0.9960169977154141,47.18338585181591,1.0,0.0
16,0.9955999467543086,47.16362928494723,1.0,0.0
17,0.9951632381490356,47.14294149480442,1.0,0.0
18,0.9947068975290195,47.121323695506355,1.0,0.0
19,0.9942309516861578,47.09877715624064,1.0,0.0
20,0.9937354285721993,47.07530320113944,1.0,0.0
21,0.9932203572960084,47.0509032091499,1.0,0.0
22,0.9926857681207151,47.02557861389909,1.0,0.0
23,0.992131692460751,46.999330903553634,1.0,0.0
24,0.9915581628787729,46.97216162067395,1.0,0.0
25,0.9909652130824728,46.944072362063146,1.0,0.0
26,0.9903528779212758,46.9150647786106,1.0,0.0
27,0.989721193382926,46.88514057513018,1.0,0.0
28,0.9890701965899611,46.85430151019333,1.0,0.0
29,0.9883999257960758,46.82254939595669,1.0,0.0
30,0.9877104203823749,46.78988609798468,1.0,0.0
31,0.987001720853516,46.75631353506673,1.0,0.0
32,0.9862738688337434,46.7218336790294,1.0,0.0
33,0.9855269070628128,46.68644855454336,1.0,0.0
34,0.9847608793918075,46.65016023892514,1.0,0.0
35,0.9839758307788469,46.61297086193387,1.0,0.0
36,0.983171807284688,46.574882605562905,1.0,0.0
37,0.9823488560682201,46.5358977038264,1.0,0.0
38,0.9815070253818537,46.496018442540866,1.0,0.0
39,0.9806463645668042,46.45524715910176,1.0,0.0
40,0.9797669240482703,46.41358624225508,1.0,0.0
41,0.9788687553305091,46.371038131864026,1.0,0.0
42,0.9779519109918076,46.32760531867085,1.0,0.0
43,0.9770164446793513,46.283290344053704,1.0,0.0
44,0.9760624111039913,46.23809579977881,1.0,0.0
45,0.9750898660349093,46.19202432774768,1.0,0.0
46,0.9740988662941834,46.145078619739714,1.0,0.0
47,0.9730894697512527,46.097261417149966,1.0,0.0
48,0.9720617353172841,46.0485755107223,1.0,0.0
49,0.9710157229394402,45.99902374027783,1.0,0.0
50,0.9699514935950494,45.94860899443876,1.0,0.0
51,0.9688691092856803,45.897334210347665,1.0,0.0
52,0.9677686330311192,45.845202373382214,1.0,0.0
53,0.9666501288632535,45.79221651686539,1.0,0.0
54,0.9655136618198602,45.73837972177124,1.0,0.0
55,0.964359297938301,45.68369511642621,1.0,0.0
56,0.9631871042491253,45.62816587620611,1.0,0.0
57,0.9619971487695815,45.57179522322872,1.0,0.0
58,0.960789500497037,45.51458642604208,1.0,0.0
59,0.9595642294023091,45.45654279930857,1.0,0.0
60,0.9583214064229061,45.39766770348472,1.0,0.0
61,0.957061103456181,45.3379645444969,1.0,0.0
62,0.9557833933523977,45.27743677341282,1.0,0.0
63,0.9544883499077113,45.21608788610903,1.0,0.0
64,0.9531760478570623,45.15392142293428,1.0,0.0
65,0.9518465628669882,45.090940968369,1.0,0.0
66,0.9504999715283498,45.02715015068072,1.0,0.0
67,0.9491363513489759,44.962552641575655,1.0,0.0
68,0.9477557807462279,44.89715215584645,1.0,0.0
69,0.946358339039482,44.83095245101606,1.0,0.0
70,0.944944106442533,44.7639573269779,1.0,0.0
71,0.9435131640559201,44.6961706256323,1.0,0.0
72,0.9420655938591749,44.62759623051928,1.0,0.0
73,0.9406014787029929,44.55823806644771,1.0,0.0
74,0.9391209023013308,44.48810009912089,1.0,0.0
75,0.9376239492234283,44.41718633475869,1.0,0.0
76,0.9361107048857576,44.345500819716115,1.0,0.0
77,0.9345812555439013,44.273047640098554,1.0,0.0
78,0.9330356882843577,44.199830921373625,1.0,0.0
79,0.9314740910162782,44.125854827979694,1.0,0.0
80,0.9298965524631346,44.05112356293119,1.0,0.0
81,0.9283031621543194,43.97564136742065,1.0,0.0
82,0.9266940104166791,43.899412520417684,1.0,0.0
83,0.9250691883659825,43.82244133826477,1.0,0.0
84,0.9234287878983245,43.744732174270034,1.0,0.0
85,0.9217729016814666,43.666289418297076,1.0,0.0
86,0.9201016231461157,43.58711749635177,1.0,0.0
87,0.9184150464771415,43.507220870166265,1.0,0.0
88,0.9167132666047352,43.42660403678011,1.0,0.0
89,0.9149963791955085,43.34527152811863,1.0,0.0
90,0.9132644806435357,43.26322791056857,1.0,0.0
91,0.9115176680613398,43.18047778455103,1.0,0.0
92,0.9097560392708233,43.09702578409194,1.0,0.0
93,0.9079796927941449,43.012876576389786,1.0,0.0
94,0.9061887278445445,42.92803486138101,1.0,0.0
95,0.9043832443171154,42.842505371302835,1.0,0.0
96,0.902563342779527,42.75629287025385,1.0,0.0
97,0.9007291244626991,42.66940215375216,1.0,0.0
98,0.8988806912514269,42.581838048291296,1.0,0.0
99,0.89701814567496,42.493605410893935,1.0,0.0
100,0.8951415908975365,42.40470912866348,1.0,0.0
101,0.8932511307088722,42.31515411833349,1.0,0.0
102,0.8913468695146072,42.224945325815156,1.0,0.0
103,0.8894289123267107,42.13408772574272,1.0,0.0
104,0.8874973647538451,42.04258632101699,1.0,0.0
105,0.8855523329916909,41.95044614234709,1.0,0.0
106,0.8835939238132339,41.85767224779024,1.0,0.0
107,0.8816222445590152,41.76426972228997,1.0,0.0
108,0.8796374031273458,41.67024367721249,1.0,0.0
109,0.8776395079644871,41.57559924988156,1.0,0.0
110,0.8756286680547976,41.48034160311175,1.0,0.0
111,0.8736049929108487,41.38447592474011,1.0,0.0
112,0.8715685925635098,41.28800742715658,1.0,0.0
113,0.8695195775520037,41.19094134683284,1.0,0.0
114,0.8674580589139338,41.093282943849886,1.0,0.0
115,0.8653841481752852,40.99503750142437,1.0,0.0
116,0.8632979573403997,40.8962103254337,1.0,0.0
117,0.8611995988819273,40.79680674393999,1.0,0.0
118,0.8590891857307533,40.696832106712925,1.0,0.0
119,0.856966831265905,40.5962917847516,1.0,0.0
120,0.8548326493044371,40.495191169805366,1.0,0.0
121,0.8526867540912983,40.39353567389382,1.0,0.0
122,0.8505292602891796,40.29133072882585,1.0,0.0
123,0.8483602829683461,40.188581785717986,1.0,0.0
124,0.846179937596453,40.085294314511955,1.0,0.0
125,0.8439883400283479,39.98147380349157,1.0,0.0
126,0.8417856064958594,39.877125758799025,1.0,0.0
127,0.8395718535975752,39.77225570395066,1.0,0.0
128,0.8373471982886082,39.66686917935213,1.0,0.0
129,0.8351117578703542,39.56097174181326,1.0,0.0
130,0.8328656499802423,39.45456896406244,1.0,0.0
131,0.8306089925814769,39.34766643426071,1.0,0.0
132,0.8283419039527763,39.24026975551566,1.0,0.0
133,0.8260645026781049,39.13238454539505,1.0,0.0
134,0.8237769076364043,39.02401643544026,1.0,0.0
135,0.8214792379913212,38.91517107067979,1.0,0.0
136,0.8191716131809357,38.8058541091426,1.0,0.0
137,0.8168541529074903,38.69607122137157,1.0,0.0
138,0.81452697712712,38.585828089936996,1.0,0.0
139,0.8121902060395861,38.47513040895025,1.0,0.0
140,0.8098439600780148,38.36398388357768,1.0,0.0
141,0.8074883598986408,38.25239422955476,1.0,0.0
142,0.8051235263705572,38.14036717270049,1.0,0.0
143,0.802749580565475,38.02790844843232,1.0,0.0
144,0.8003666437474901,37.91502380128134,1.0,0.0
145,0.7979748373628617,37.80171898440812,1.0,0.0
146,0.7955742830298019,37.68799975911899,1.0,0.0
147,0.7931651025282787,37.57387189438297,1.0,0.0
148,0.7907474177898314,37.45934116634935,1.0,0.0
149,0.7883213508874032,37.344413357866,1.0,0.0
150,0.7858870240251884,37.229094257998455,1.0,0.0
151,0.7834445595284982,37.113389661549775,1.0,0.0
152,0.7809940798336447,36.99730536858136,1.0,0.0
153,0.778535707477844,36.88084718393467,1.0,0.0
154,0.7760695650891416,36.76402091675393,1.0,0.0
155,0.7735957753763589,36.64683238000987,1.0,0.0
156,0.7711144611190631,36.529287390024614,1.0,0.0
157,0.7686257451575615,36.41139176599767,1.0,0.0
158,0.7661297503829213,36.29315132953314,1.0,0.0
159,0.7636265997270155,36.174571904168175,1.0,0.0
160,0.7611164161525975,36.05565931490281,1.0,0.0
161,0.7585993226434034,35.936419387731064,1.0,0.0
162,0.7560754421942844,35.8168579491735,1.0,0.0
