annotation,label,real_fraction,generated_fraction,difference,timestep
celltype,Midbrain hem radial glia,0.004574863136939627,0.0,-0.004574863136939627,999
celltype,Midbrain intermediate progenitor,0.0034263619310133608,0.0,-0.0034263619310133608,999
celltype,Midbrain interneuron,0.0006380562255145924,0.0,-0.0006380562255145924,999
celltype,Midbrain neuroblast,0.00214386891772903,0.0,-0.00214386891772903,999
celltype,Midbrain progenitor,0.002424613656955451,0.0,-0.002424613656955451,999
celltype,Midbrain-hindbrain epithelia,0.0031137143805112107,0.0,-0.0031137143805112107,999
celltype,Midbrain-hindbrain progenitor,0.0072419381595906235,0.0,-0.0072419381595906235,999
celltype,Monocyte-fibrocyte,0.0003764531730536095,0.0,-0.0003764531730536095,999
celltype,Monocytes,0.005895639523754833,0.0,-0.005895639523754833,999
celltype,Neural crest progenitor,0.0021757717290047597,0.0,-0.0021757717290047597,999
celltype,Oligodendrocyte progenitor,0.00010208899608233478,0.0,-0.00010208899608233478,999
celltype,Optic nerve (sensory),0.0005104449804116739,0.0,-0.0005104449804116739,999
celltype,Optic vesicle epithelia,0.00018503630539923178,0.0,-0.00018503630539923178,999
celltype,Osteogenic,0.013488508607378482,0.0,-0.013488508607378482,999
celltype,Osteoprogenitor,0.0012824930132843307,0.0,-0.0012824930132843307,999
celltype,Pericyte,0.01838878041933055,0.0,-0.01838878041933055,999
celltype,Peripheral neuroblast,0.009743118563607826,0.0,-0.009743118563607826,999
celltype,Perivascular fibroblast,0.0058701172747342495,0.0,-0.0058701172747342495,999
celltype,Pia,0.056761481821778134,0.0,-0.056761481821778134,999
celltype,Pia-forebrain,0.05081479779998213,0.0,-0.05081479779998213,999
celltype,Pinealocyte,0.005276724985005679,0.0,-0.005276724985005679,999
celltype,Platelets,0.00028712530148156654,0.0,-0.00028712530148156654,999
celltype,Pontine nuclei lineage intermediate progenitor,0.004511057514388168,0.0,-0.004511057514388168,999
celltype,Pontine nuclei lineage migrating neuron,0.0034263619310133608,0.0,-0.0034263619310133608,999
celltype,Pre-EMT neural crest,0.008677564666998455,0.0,-0.008677564666998455,999
celltype,Pre-EMT neural crest epithelia,0.0012633513265188929,0.0,-0.0012633513265188929,999
celltype,Precursor/CFU-E,0.0285657772162883,0.0,-0.0285657772162883,999
celltype,Presumptive neuroretina,0.00017227518088893992,0.0,-0.00017227518088893992,999
celltype,Primary meninx,0.03499100340722024,0.0,-0.03499100340722024,999
celltype,Primary meninx-hindbrain,0.013265188928448374,0.01,-0.003265188928448374,999
celltype,Primary vascular plexus,0.006233809323277567,0.0,-0.006233809323277567,999
celltype,Promyelocytes,0.0006252951010043005,0.0,-0.0006252951010043005,999
celltype,Rathkes pouch,0.0009507037760167426,0.0,-0.0009507037760167426,999
celltype,Reticulocyte/RBC,0.0987711037096589,0.0,-0.0987711037096589,999
celltype,S100A12-high monocytes,0.0001403723696132103,0.0,-0.0001403723696132103,999
celltype,Schwann cell,0.0051427331776476145,0.0,-0.0051427331776476145,999
celltype,Schwann cell precursor,0.01374373109758432,0.0,-0.01374373109758432,999
celltype,Smooth muscle cell,0.004587624261449919,0.0,-0.004587624261449919,999
celltype,"Smooth muscle cell, mature",0.003579495425136863,0.0,-0.003579495425136863,999
celltype,Spinal cord radial glia,7.656674706175108e-05,0.0,-7.656674706175108e-05,999
celltype,Tip cell,0.0018886464275231934,0.0,-0.0018886464275231934,999
celltype,Tip cell - arterial,0.002239577351556219,0.0,-0.002239577351556219,999
celltype,Venous capillary,0.01723389865114914,0.0,-0.01723389865114914,999
celltype,Venous lymphatic-like,0.002667075022650996,0.0,-0.002667075022650996,999
