t,n,swd,centroid_distance,covariance_trace_q,covariance_trace_p,covariance_trace_ratio,swd_forward_baseline
999,3000,0.03142995698293946,0.16596528713743136,50.015587701654674,50.16817433007665,1.0030507814750107,0.032491112560317295
900,3000,0.033272835656291966,0.17054562106040388,50.253947446228345,50.40840319785694,1.0030735048583768,0.03384553977418712
700,3000,0.035207594346127774,0.19958931814150224,52.05626122101002,51.24118115890214,0.98434232418945,0.031113903577366833
500,3000,0.05452903989845888,0.267949179640492,76.41884491001176,66.55050054081055,0.8708650414590559,0.047592210266967395
300,3000,0.08409033051275676,0.42419258863125653,162.12301082834256,158.06685291826278,0.9749809857998846,0.06986719201622872
200,3000,0.16627099309643487,0.6382680703567175,279.1953685908234,263.28531089991515,0.9430146074012232,0.09409869463081301
100,3000,0.3695480165397737,1.1542818836207471,293.97085447169434,419.4098869970279,1.426705677169135,0.11870230604570069
50,3000,0.5583912196137398,1.5370564207192934,314.24461134103063,538.550716823876,1.7137945962720726,0.09799617491890132
20,3000,0.7947843493391467,2.0905367996203164,328.09856096332624,660.8086664870088,2.014055363567632,0.1052612674485627
10,3000,0.9075658385841695,2.352194744968274,352.4654029975395,731.8515672685127,2.0763784503230283,0.09485258751197786
5,3000,1.0784037524101795,2.6955224273189886,322.7824291418537,785.4495704951145,2.4333715208207067,0.08891032562550268
1,3000,1.2328443039007018,3.113937950809459,321.8013099131084,854.4425907789099,2.655186801475803,0.09760588090650746
0,3000,1.3076284338679154,3.2485647372772304,316.39027987130646,881.2119353289611,2.7852054610761083,0.08927858377501062
